PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
37,Ryan Fraser,Bournemouth,17,1465,4,7,2.12,6.88,0.13,0.42
38,Bernardo Mota Veiga de Carvalho e Silva,Manchester City,16,1323,4,3,3.45,4.26,0.23,0.29
39,Luka Milivojevic,Crystal Palace,17,1530,4,0,4.13,1.12,0.24,0.07
40,Callum Paterson,Cardiff,15,1131,4,0,4.22,1.35,0.34,0.11
41,Ilkay Gündogan,Manchester City,12,658,3,2,2.47,2.38,0.34,0.33
42,Heung-Min Son,Tottenham,12,672,3,2,3.23,1.28,0.43,0.17
43,James Milner,Liverpool,15,974,3,2,1.36,2.82,0.13,0.26
44,Mesut Özil,Arsenal,11,850,3,1,0.79,2.39,0.08,0.25
45,Wilfried Zaha,Crystal Palace,14,1260,3,1,2.33,1.50,0.17,0.11
46,Marcus Rashford,Manchester United,14,854,3,5,3.27,1.28,0.34,0.14
47,José Holebas,Watford,14,1256,3,4,0.45,3.81,0.03,0.27
48,Ross Barkley,Chelsea,14,525,3,3,2.28,1.04,0.39,0.18
49,Dele Alli,Tottenham,12,826,3,1,3.64,1.57,0.40,0.17
50,Ruben Loftus-Cheek,Chelsea,7,239,3,0,1.09,0.25,0.41,0.10
51,Andre Gray,Watford,15,723,3,0,2.48,1.01,0.31,0.13
52,Sam Vokes,Burnley,16,828,3,0,2.67,0.52,0.29,0.06
53,James Tarkowski,Burnley,14,1196,3,0,2.11,0.03,0.16,0.00
54,Paul Pogba,Manchester United,14,1137,3,3,6.04,1.45,0.48,0.12
55,Ivan Cavaleiro,Wolverhampton Wanderers,10,267,3,0,1.81,0.79,0.61,0.26
56,Gabriel Jesus,Manchester City,14,584,3,2,5.77,2.14,0.89,0.33
57,Dominic Calvert-Lewin,Everton,15,476,3,0,1.68,0.10,0.32,0.02
58,Shane Duffy,Brighton,15,1287,3,1,1.56,0.18,0.11,0.01
59,David Brooks,Bournemouth,15,1060,3,1,3.12,1.82,0.26,0.15
60,Josh Murphy,Cardiff,15,962,3,0,2.46,1.24,0.23,0.12
61,Matt Doherty,Wolverhampton Wanderers,17,1496,3,3,3.14,1.76,0.19,0.11
62,Stuart Armstrong,Southampton,13,650,3,0,0.88,0.28,0.12,0.04
63,Granit Xhaka,Arsenal,16,1382,2,1,0.53,1.45,0.03,0.09
64,Pierre-Emile Højbjerg,Southampton,14,1247,2,0,0.97,0.65,0.07,0.05
65,Daniel Sturridge,Liverpool,9,229,2,0,1.12,0.42,0.44,0.17
66,Theo Walcott,Everton,17,1256,2,2,3.86,2.16,0.28,0.15
67,Michail Antonio,West Ham,14,688,2,1,2.45,1.40,0.32,0.18
68,Juan Mata,Manchester United,12,647,2,2,0.68,2.41,0.09,0.34
69,Jesse Lingard,Manchester United,13,729,2,0,1.92,1.24,0.24,0.15
70,Troy Deeney,Watford,14,1159,2,1,3.64,1.88,0.28,0.15
71,Gerard Deulofeu,Watford,10,567,2,2,2.36,1.75,0.37,0.28
72,James McArthur,Crystal Palace,17,1390,2,1,1.92,1.54,0.12,0.10
73,Eric Dier,Tottenham,13,1128,2,0,0.82,1.06,0.07,0.08
74,Willian,Chelsea,16,1099,2,3,1.99,3.87,0.16,0.32
75,N'Golo Kanté,Chelsea,17,1519,2,2,1.40,1.88,0.08,0.11
76,Jeffrey Schlupp,Crystal Palace,15,625,2,0,1.03,0.33,0.15,0.05
77,Demarai Gray,Leicester,14,959,2,1,1.80,0.41,0.17,0.04
78,Ayoze Pérez,Newcastle United,17,1259,2,1,2.17,2.23,0.15,0.16
79,Andros Townsend,Crystal Palace,17,1501,2,2,1.69,1.39,0.10,0.08
80,Charlie Austin,Southampton,13,645,2,0,2.96,0.08,0.41,0.01
81,Joselu,Newcastle United,13,470,2,0,1.52,0.01,0.29,0.00
82,Ciaran Clark,Newcastle United,10,760,2,0,0.44,0.05,0.05,0.01
83,Lucas Torreira,Arsenal,17,1222,2,2,1.46,0.62,0.11,0.05
84,Johann Berg Gudmundsson,Burnley,14,1144,2,4,1.35,2.00,0.11,0.16
85,Harry Maguire,Leicester,12,1016,2,0,0.90,0.31,0.08,0.03
86,Robert Snodgrass,West Ham,16,1000,2,3,0.98,2.66,0.09,0.24
87,Shkodran Mustafi,Arsenal,16,1403,2,0,1.01,0.21,0.06,0.01
88,Lucas Pérez,West Ham,7,199,2,0,0.64,0.67,0.29,0.30
89,Abdoulaye Doucouré,Watford,17,1530,2,5,3.73,2.76,0.22,0.16
90,Sol Bamba,Cardiff,16,1440,2,1,2.48,0.08,0.16,0.01
91,Florin Andone,Brighton,7,271,2,0,0.78,0.00,0.26,0.00
92,Junior Hoilett,Cardiff,14,923,2,0,0.91,0.23,0.09,0.02
93,Ashley Barnes,Burnley,16,535,2,0,2.51,0.35,0.42,0.06
94,Aboubakar Kamara,Fulham,9,522,2,0,2.13,0.51,0.37,0.09
95,Zanka,Huddersfield,15,1341,2,1,0.34,0.29,0.02,0.02
96,Aaron Mooy,Huddersfield,15,1327,2,0,1.00,1.48,0.07,0.10
97,Lewis Dunk,Brighton,16,1369,2,0,1.22,0.08,0.08,0.01
98,Andriy Yarmolenko,West Ham,9,454,2,0,1.25,0.70,0.25,0.14
99,Cenk Tosun,Everton,13,604,2,2,3.14,0.28,0.47,0.04
100,Bobby Reid,Cardiff,13,653,2,1,1.48,0.52,0.20,0.07
101,Rúben Neves,Wolverhampton Wanderers,16,1440,2,1,1.96,0.83,0.12,0.05
102,Diogo Jota,Wolverhampton Wanderers,16,1043,2,1,2.77,2.35,0.24,0.20
103,Yoshinori Muto,Newcastle United,10,369,1,0,0.97,0.20,0.24,0.05
104,Pascal Groß,Brighton,9,588,1,0,1.99,0.46,0.30,0.07
105,Joel Matip,Liverpool,8,275,1,0,0.04,0.00,0.01,0.00
106,Leon Balogun,Brighton,6,409,1,0,0.08,0.00,0.02,0.00
107,Steve Cook,Bournemouth,17,1530,1,1,1.10,0.19,0.06,0.01
108,Junior Stanislas,Bournemouth,11,381,1,1,1.57,0.86,0.37,0.20
109,Divock Origi,Liverpool,2,72,1,1,1.53,0.06,1.91,0.07
