,bps,clean_sheets,element_type,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,selected_by_percent,total_points,yellow_cards,Player,PID,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90,Position,xAP,xGP,xAR,xAP90,xGP90,xAR90,xAR90pm
49,55,0,3,55,0,0,0,3.0,0,0,0.5,9,0,Steven Defour,259,Burnley,3,250,0,1,0.01,0.22,0.0,0.08,Midfielder,0.66,0.05,0.7100000000000001,0.24,0.0,0.24,0.04363636363636363
50,15,0,3,55,0,0,0,2.0,0,0,0.1,4,0,Jeff Hendrick,287,Burnley,2,180,0,0,0.22,0.22,0.11,0.11,Midfielder,0.66,1.1,1.7600000000000002,0.33,0.55,0.8800000000000001,0.16000000000000003
51,48,0,3,55,0,0,0,3.7,0,0,0.8,11,1,Robbie Brady,201,Burnley,3,259,0,1,0.5,0.98,0.18,0.34,Midfielder,2.94,2.5,5.4399999999999995,1.02,0.8999999999999999,1.92,0.34909090909090906
54,50,0,3,45,0,0,0,3.0,0,0,3.1,9,0,Jack Cork,172,Burnley,3,270,0,1,0.02,0.1,0.01,0.03,Midfielder,0.30000000000000004,0.1,0.4,0.09,0.05,0.14,0.031111111111111114
55,60,0,4,60,0,0,0,5.3,0,0,6.2,16,0,Sam Vokes,13,Burnley,3,238,2,0,0.32,0.05,0.12,0.02,Forward,0.15000000000000002,1.28,1.4300000000000002,0.06,0.48,0.54,0.09000000000000001
56,6,2,4,65,0,0,0,2.3,0,0,1.9,7,1,Andre Gray,261,Watford,3,199,0,0,0.59,0.0,0.26,0.0,Forward,0.0,2.36,2.36,0.0,1.04,1.04,0.16
58,57,1,1,55,0,0,0,4.3,0,8,14.8,13,0,Thibaut Courtois,158,Chelsea,3,270,0,0,0.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,66,1,2,65,0,0,0,4.0,0,0,9.4,12,1,César Azpilicueta,159,Chelsea,3,270,0,1,0.03,0.72,0.01,0.24,Defender,2.16,0.18,2.3400000000000003,0.72,0.06,0.78,0.12000000000000001
61,57,1,2,55,0,0,0,3.7,0,0,3.3,11,0,Kurt Zouma,242,Stoke,3,270,0,0,0.08,0.0,0.03,0.0,Defender,0.0,0.48,0.48,0.0,0.18,0.18,0.03272727272727272
62,85,1,2,71,0,0,0,7.3,0,0,19.8,22,2,Marcos Alonso,12,Chelsea,3,270,2,0,0.35,0.09,0.12,0.03,Defender,0.27,2.0999999999999996,2.3699999999999997,0.09,0.72,0.8099999999999999,0.11408450704225352
63,29,1,2,65,0,0,0,3.5,0,0,0.9,7,1,Victor Moses,105,Chelsea,2,180,0,0,0.18,0.12,0.09,0.06,Defender,0.36,1.08,1.44,0.18,0.54,0.72,0.11076923076923076
64,44,1,2,60,0,0,0,2.3,0,0,2.3,7,2,Antonio Rüdiger,293,Chelsea,3,270,0,0,0.03,0.0,0.01,0.0,Defender,0.0,0.18,0.18,0.0,0.06,0.06,0.01
65,43,1,3,69,0,0,0,5.0,1,0,4.8,10,0,Cesc Fàbregas,29,Chelsea,2,174,1,0,0.1,0.29,0.05,0.15,Midfielder,0.8699999999999999,0.5,1.3699999999999999,0.44999999999999996,0.25,0.7,0.10144927536231883
66,54,3,3,50,0,0,0,3.0,0,0,16.5,9,0,Nemanja Matic,163,Manchester United,3,270,0,0,0.03,0.0,0.01,0.0,Midfielder,0.0,0.15,0.15,0.0,0.05,0.05,0.01
67,38,0,3,45,0,0,0,2.0,0,0,9.3,4,0,Ruben Loftus-Cheek,161,Crystal Palace,2,180,0,0,0.05,0.59,0.03,0.29,Midfielder,1.77,0.25,2.02,0.8699999999999999,0.15,1.0199999999999998,0.22666666666666663
68,48,1,3,50,0,0,0,2.3,0,0,16.0,7,0,N'Golo Kanté,187,Chelsea,3,270,0,0,0.1,0.12,0.03,0.04,Midfielder,0.36,0.5,0.86,0.12,0.15,0.27,0.054000000000000006
69,19,2,3,45,0,0,0,2.3,0,0,2.5,7,1,Nathaniel Chalobah,266,Watford,3,270,0,0,0.57,0.0,0.19,0.0,Midfielder,0.0,2.8499999999999996,2.8499999999999996,0.0,0.95,0.95,0.2111111111111111
